,FYGT10,fyff_3m,fygt2_3m,fygt10_3m,Baa,EXRate,Wilsh,BAA_TB10,Auto_TB2,Mortc_tb10,BankCred,ComPapOut,Compapis_M24,TED_SPR,LIBOR_SPR,MZM,cor_e_t,Idio_bank,ppi_561_ma24,VIX,Fpers_TB,FRBSLO_1,FRBSLO_2,FRBSLO_3,SLGOV_Liab,NonFed_Liab,Priv_nfdebt,Fin_Liab,ABS_CC,ABS_mort1,ABS_mort2,BD_Leverage
1996.0,-0.24,0.48,0.42,0.76,7.75,2.63,0.63,1.71,5.07,1.44,47.4,15.303,0.0,0.4975,5.9375,45.0,0.0359595578872,0.00171357170086,0.951880440138,13.83,8.3,-3.5,-1.8,5.5,-16.9,125.313,142.213,1.414,23.494,4.291,3.116,3.05376747628
1996.25,-0.39,0.56,0.11,0.65,7.47,1.6,1.53,1.82,4.7,1.38,38.7,12.5495,0.0,0.3928,5.54279,40.3,0.469781445613,0.00155139329042,1.0964268233,12.53,8.36333333333,7.0,3.5,5.4,-5.3,172.072,177.372,9.881,11.522,7.315,2.164,-0.885556629191
1996.5,0.86,0.27,1.01,1.56,8.19,-0.01,1.02,1.68,3.63,1.42,44.0,24.899,0.0,0.404,5.49395,65.1,0.37203849504,0.00100721076692,1.25834127741,15.83,7.4,-0.9,1.8,-4.0,-3.5,159.066,162.566,23.245,17.489,7.132,1.89,0.328279960664
1996.75,0.36,0.25,1.12,1.72,8.35,0.43,-0.72,1.48,3.64,1.38,15.4,24.0413,0.0,0.3403,5.64029,52.5,0.262467006208,0.00168542386176,1.10669745958,19.46,7.19333333333,-3.7,-1.9,-6.1,-8.9,137.277,146.177,-5.729,15.221,5.645,0.676,0.452733808055
1997.0,-0.34,0.25,0.92,1.54,8.07,0.28,1.96,1.54,4.51,1.39,52.1,22.9872,0.0,0.4249,5.54484,36.3,0.737369140125,0.00105839790643,1.25253696724,18.11,7.82333333333,-7.8,-12.2,-3.8,-2.8,118.997,121.797,11.7,16.173,1.506,5.97,2.16627334654
1997.25,0.05,0.22,0.98,1.55,8.09,0.86,2.34,1.51,1.49,1.24,60.4,46.9257,0.0,0.3953,5.56534,62.8,0.347998865719,0.00152047794833,1.17174404683,20.82,7.41666666667,-5.5,-5.3,-2.0,5.3,164.338,159.038,17.339,4.806,9.219,1.535,-0.89061639039
1997.5,0.31,0.35,1.29,1.73,8.34,2.83,-0.07,1.45,2.54,1.25,101.7,33.722,0.0,0.5301,5.83008,57.1,0.654048135754,0.00197905794908,0.863741339492,20.06,7.53666666667,-7.0,-3.5,0.0,7.6,183.965,176.365,41.508,9.585,4.496,3.347,1.80232130699
1997.75,-0.67,0.47,0.84,1.17,7.75,-0.51,4.83,1.53,1.01,1.28,85.2,51.128,0.0,0.5551,5.74507,57.9,0.484028264394,0.00147753446253,0.863660199266,21.48,7.93666666667,-5.7,-1.9,8.3,18.3,217.186,198.886,24.803,20.392,14.694,3.9,-1.05795472304
1998.0,-0.19,0.53,0.8,1.06,7.57,2.46,-0.41,1.54,1.78,1.26,66.3,32.2753,0.0,0.6565,5.76647,83.4,-0.613161455289,0.00242958311185,0.9332247557,35.09,8.76666666667,-7.0,-3.5,10.0,19.5,222.401,202.901,17.35,12.187,10.038,10.083,3.26830448215
1998.25,-0.49,0.52,0.32,0.5,7.19,7.49,1.6,1.65,0.75,1.45,88.6,51.9924,0.0,0.4696,5.64955,84.9,-0.486396373522,0.00156266878687,0.754892013335,21.47,8.56333333333,1.8,1.9,0.0,15.7,257.798,242.098,52.04,8.934,15.18,11.02,0.0891564940438
